lemma,cat,def,etym,fam,proc,aff,rad,etym_mean,lang,base,etym_fam,label
ligneux,Adjectif,"['Qui est de la nature de la lignine, qui en contient.']","['Du latin lignosus (« comme du bois »), de lignum (« bois »).']","['pyroligneux', 'noueux', 'délignifier', 'lignicole', 'lignifère', 'lignifiant', 'lignification', 'lignifié', 'lignine', 'lignite', 'lignocellulose', 'lignone', 'lignose', 'lignosité', 'lignosulfonate', 'bois', 'boisage', 'boise', 'boisement', 'boiser', 'boisette', 'boiseur', 'boisilier', 'boisé', 'boitte', 'bosquet', 'bouc', 'bouchable', 'bouchage', 'bouche', 'bouchelette', 'bouchement', 'boucher', 'bouchette', 'boucheur', 'boucheuse', 'bouchère', 'bouché', 'boue', 'bouette', 'boueur', 'boueux', 'bouquet', 'bouqueter', 'bouquetier', 'bouqueté', 'bouvet', 'bouvetage', 'bouveter', 'bouveteur', 'bouveteuse', 'bouvier', 'bouvière', 'bovin', 'bovinité', 'boyer', 'boëtte', 'bœuf', 'déboisage', 'déboisement', 'déboiser', 'déboiseur', 'déboiseuse', 'débouchage', 'débouchement', 'déboucher', 'déboucheur', 'débouchonner', 'débouché', 'délignification', 'embouage', 'embouchage', 'embouche', 'emboucher', 'emboucheur', 'embouché', 'embouement', 'embouer', 'imbouchable', 'ligneux', 'ligniteux', 'monoxyle', 'reboisage', 'reboisement', 'reboiser', 'reboiseur', 'rebouchage', 'rebouchement', 'reboucher', 'stomatite', 'xylite', 'xylène']",['suffixation'],['-eux'],lign-,"[('lignosus', 'comme du bois'), ('lignum', 'bois')]",latin,bois,"['pyroligneux', 'délignifier', 'lignicole', 'lignifère', 'lignifiant', 'lignification', 'lignifié', 'lignine', 'lignite', 'lignocellulose', 'lignone', 'lignose', 'lignosité', 'lignosulfonate', 'délignification', 'ligniteux']",supplétion régulière
sud,Nom commun,['Point cardinal opposé au nord ; direction du pôle de l’hémisphère austral et correspondant à l’azimut 180°.'],"['Du vieil anglais suþ, de même sens. suth (Gaimar).']","['sudisme', 'sudiste', 'austro', 'méridien', 'midi', 'miéjour', 'nord', 'sud', 'sudette', 'Notre-Dame-du-Lac-Saint-Jean-Partie-Sud']",[],[],NULL,[],NULL,NULL,[],non dérivé
école,Nom commun,['Lieu dédié à l’apprentissage.'],"['De l’ancien français escole, d’un latin tardif *escola, du latin schola (« loisir studieux, leçon, lieu d’étude »), lui-même issu du grec ancien σχολή, skholế (« loisir »).']","['écolage', 'écolâtre', 'écoler', 'écolier', 'écolière', 'scholasticide', 'scolaire', '🏫', 'extra-scolaire', 'extrascolaire', 'interscolaire', 'interscolarité', 'postscolaire', 'préscolaire', 'péri-scolaire', 'périscolaire', 'scholariat', 'scholarité', 'scolariat', 'scolarisable', 'scolarisation', 'scolariser', 'scolaritude', 'scolarité', 'école', 'écolette', 'écolier', 'écolo', 'écologie', 'écologique', 'écologisme', 'écologiste', 'œcologie']",[],[],NULL,[],NULL,NULL,[],non dérivé
cérémonie,Nom commun,"['Ensemble des formes extérieures et régulières du culte religieux, des célébrations mystiques.']","['Du latin caeremonia (« cérémonie religieuse », « rite »).']","['cérémonial', 'cérémoniel', 'cérémonieusement', 'cérémonieux', 'fête', 'rituel', 'liturgie', 'protocole', 'solennité', 'cérémoniaire', 'cérémonialité', 'cérémonie', 'sarimonie']",[],[],NULL,[],NULL,NULL,[],non dérivé
eau,Nom commun,"['Liquide transparent, incolore, inodore et insipide à l’état pur, qui est le principal constituant des lacs, rivières, mers et océans.']","['Du moyen français eaue, eau, de l’ancien français eaue, ewe, du latin aqua, du proto-italique *akʷā (« eau »), de l’indo-européen commun *h₂ékʷeh₂ (« eau »). La prononciation [akwa] de aqua a évolué vers le VIᵉ siècle en [agwa], puis [awa]. Aux XIᵉ et XIIᵉ, la forme ewe [ɛwə] et les variantes egua, aigue (qui donna aigue-marine) et eve (qui donna évier) sont attestées en ancien français. Au XIIᵉ et XIIIᵉ, la forme eaue [eovə] apparait. Au XVIIᵉ, le e final disparait entièrement, ce qui donne l’orthographe actuelle (prononcée [eo] à l’époque) et la prononciation se simplifia en [o]. À noter que l’on pouvait retrouver jusqu’au XVIIIᵉ à Paris la prononciation [jo].', 'À noter qu’en français, aqua se retrouve en composition, comme préfixe : aqu-, aqui-.', 'Le mot a entre autres cognats, l’occitan aiga, l’italien acqua, le catalan aigua, l’espagnol agua, le portugais água et le roumain apă.', '→ voir aussi les hydronymes Aa en allemand et Aa en français, pour l’évolution similaire de *h₂ékʷeh₂ (« eau ») via l’allemand.']","['Morteau', 'RESC', 'Verseau', 'Eaubonne', 'agoua', 'flotte', 'baille', 'onde', 'hydrogénol', 'éveux', 'évier', 'gouache', 'déverser', 'submerger', 'aquarien', 'aquette', 'aqueux', 'aquosité', 'déshydratation', 'déshydrater', 'déshydraté', 'eau', 'eautette', 'hydatisme', 'hydraire', 'hydratable', 'hydratant', 'hydratation', 'hydrater', 'hydrateur', 'hydrolien', 'monohydraté', 'réhydratation', 'réhydrater', 'aigaire', 'aiguière']",[],[],NULL,[],NULL,NULL,[],non dérivé
bois,Nom commun,['Substance dure et fibreuse des arbres.'],"['Du moyen français bois, de l’ancien français bois, du bas latin boscus, du vieux-francique *busk, du proto-germanique occidental *busk, du proto-germanique *buskaz.', 'Apparenté à l’occitano-roman bosc/bòsc (« bois, forêt »), à l’espagnol bosque (« bois, forêt »), à l’italien bosco (« bois, forêt »), à l’allemand Busch (« buisson »), au néerlandais bos (« bois, forêt ») et à l’anglais bush (« buisson »).']","['antebois', 'antébois', 'antibois', 'becquebois', 'boisage', 'boisé', 'boisement', 'boiser', 'boiserie', 'boisette', 'boiseur', 'boiseux', 'boisilleur', 'déboisé', 'déboisement', 'déboiser', 'déboiseuse', 'emboiser', 'étibois', 'hautbois', 'reboisement', 'reboiser', 'reboiseur', 'sainbois', 'xylographie', 'bois', 'boise', 'boisilier', 'boitte', 'bosquet', 'bouc', 'bouchable', 'bouchage', 'bouche', 'bouchelette', 'bouchement', 'boucher', 'bouchette', 'boucheur', 'boucheuse', 'bouchère', 'bouché', 'boue', 'bouette', 'boueur', 'boueux', 'bouquet', 'bouqueter', 'bouquetier', 'bouqueté', 'bouvet', 'bouvetage', 'bouveter', 'bouveteur', 'bouveteuse', 'bouvier', 'bouvière', 'bovin', 'bovinité', 'boyer', 'boëtte', 'bœuf', 'déboisage', 'déboiseur', 'débouchage', 'débouchement', 'déboucher', 'déboucheur', 'débouchonner', 'débouché', 'délignification', 'délignifier', 'embouage', 'embouchage', 'embouche', 'emboucher', 'emboucheur', 'embouché', 'embouement', 'embouer', 'imbouchable', 'ligneux', 'lignite', 'ligniteux', 'monoxyle', 'reboisage', 'rebouchage', 'rebouchement', 'reboucher', 'stomatite', 'xylite', 'xylène']",[],[],NULL,[],NULL,NULL,[],non dérivé
adipeux,Adjectif,['Qui est de nature graisseuse.'],"['Dérivé savant du latin adeps, adipis (« graisse ») avec le suffixe -eux.']","['dégraissage', 'dégraissant', 'dégraissement', 'dégraisser', 'dégraisseur', 'dégraisseuse', 'engrais', 'engraissage', 'engraissement', 'engraisser', 'engraisseur', 'graissage', 'graisse', 'graisser', 'graissette', 'graisseur', 'graisseux', 'graissier', 'graissé', 'grasset', 'rengraisser', 'stéatite', 'adipeux', 'adiposité']",['suffixation'],['-eux'],adip-,"[('adeps, adipis', 'graisse')]",latin,graisse,['adiposité'],supplétion régulière
comestible,Adjectif,"['Qui peut servir d’aliment à l’humain, que l’on peut consommer sans se blesser ni s’intoxiquer.']",['Du latin comestibilis (« mangeable »).'],"['comestibiliser', 'comestibilité', 'potable', 'innocuité', 'immangeable', 'incomestible', 'vénéneux', 'toxique', 'comestible', 'géophagisme', 'manducation', 'mangeable', 'mangeage', 'mangement', 'manger', 'mangerie', 'mangeur', 'mangeuse', 'remanger']",['suffixation'],['-ible'],comest-,"[('comestibilis', 'mangeable')]",latin,manger,"['comestibiliser', 'comestibilité', 'incomestible']",supplétion rare
lire,Verbe,['Interpréter des informations écrites sous forme de mots ou de dessins sur un support.'],"['Du latin lĕgĕre (« id. »), proprement «\u202frecueillir\u202f»']","['délire', 'entrelire', 'lisage', 'liseur', 'liseuse', 'relire', 'illisibilité', 'illisible', 'inlisible', 'inéligibilité', 'inéligible', 'lecteur', 'lecteurat', 'lectoral', 'lectorat', 'lectorial', 'lectoriat', 'lectoriel', 'lectrice', 'lectural', 'lecture', 'lecturette', 'lecturier', 'lion', 'lionnette', 'lire', 'lisant', 'lisette', 'lisibilité', 'lisible', 'lu', 'relecture', 'relu', 'réélecter', 'réélection', 'rééligibilité', 'rééligible', 'réélire', 'réélu', 'électerat', 'électeur', 'électeurat', 'électif', 'élection', 'électivité', 'électoral', 'électoralisme', 'électoraliste', 'électoralitude', 'électorat', 'électrice', 'élider', 'éligibilité', 'éligible', 'élire', 'élision', 'élitaire', 'élite', 'élitique', 'élitisme', 'élitiste', 'élu', 'Lion', 'Lionnette']",[],[],NULL,[],NULL,NULL,[],non dérivé
boire,Verbe,['Mettre un liquide dans sa bouche et l’avaler.'],"['Du latin bĭbĕre (« boire ») qui donne l’ancien français bevvre, beivre, boivre. Le radical bev- (bevons, bevez, bevant) est devenu beuv- puis buv- par labialisation ; beuv- a été conservé dans beuverie (→ voir breuvage).']","['buvard', 'déboire', 'pourboire', 'reboire', 'bessonner', 'écluser', 'picoler', 's’enivrer', 'imbiber', 'imprégner', 'beuverie', 'boisson', 'breuvage', 'buvable', 'fourbu', 'imbiber', 'imbuvable', 'bibition', 'boire', 'bu', 'buvetier', 'buvette', 'buveur', 'buveuse', 'emboire', 'embuvage', 'impotable', 'potabilité', 'potable', 'potion', 'reboire']",[],[],NULL,[],NULL,NULL,[],non dérivé
scolaire,Adjectif,"[""Qui se rapporte à l’école, que ce soit à l'enseignement qui y est prodigué, aux bâtiments qu'elle occupe ou aux personnes qui la fréquentent, notamment les élèves.""]","['Du latin scholaris, de schola (« école »).']","['intrascolaire', 'parascolaire', 'périscolaire', 'postscolaire', 'préscolaire', 'scolairement', 'scolarisation', 'scolariser', 'scolarité', 'scolastique', 'scholasticide', 'extra-scolaire', 'extrascolaire', 'interscolaire', 'interscolarité', 'péri-scolaire', 'scholariat', 'scholarité', 'scolaire', 'scolariat', 'scolarisable', 'scolaritude', 'école', 'écolette', 'écolier', 'écolo', 'écologie', 'écologique', 'écologisme', 'écologiste', 'œcologie']",['suffixation'],['-aire'],scol-,"[('scholaris',''), ('schola', 'école')]",latin,école,"['intrascolaire', 'parascolaire', 'périscolaire', 'postscolaire', 'préscolaire', 'scolairement', 'scolarisation', 'scolariser', 'scolarité', 'scolastique', 'scholasticide', 'extra-scolaire', 'extrascolaire', 'interscolaire', 'interscolarité', 'péri-scolaire', 'scholariat', 'scholarité', 'scolaire', 'scolariat', 'scolarisable', 'scolarisation', 'scolariser', 'scolaritude']",supplétion régulière
nom,Nom commun,"['Mot ou groupe de mots permettant de nommer un être ou une chose. Un nom peut être un nom commun, une locution nominale ou un nom propre.']","['Du moyen français nom (« nom »), de l’ancien français nom, non, num (« nom »), latin nōmen (« nom, dénomination »), archaïquement *gnomen, de (g)nosco (« connaître ») avec le suffixe -men ; de l’indo-européen *h₁nḗh₃mn̥, apparenté au grec ancien ὄνομα, ónoma (« nom »), au sanskrit नामन्, nā́man, à l’allemand Name, au vieux slave имѧ, imę.']","['nominal', 'nominalement', 'nominalisation', 'nominaliser', 'nominalisme', 'nominaliste', 'nominatif', 'nomination', 'nominer', 'nommage', 'nommé', 'nommément', 'nommer', 'postnom', 'SNC', 'surnom', 'substantif', 'anonyme', 'dénommer', 'dénomination', 'innommable', 'innommé', 'nomenclature', 'nomenklatura', 'prénom', 'pronom', 'renommée', 'renommer', 'surnommer', 'dénominateur', 'dénominatif', 'dénominationnel', 'dénominer', 'dénommé', 'innomé', 'nom', 'nominalisateur', 'nominalité', 'nominateur', 'nominativité', 'nommable', 'nommeur', 'uninominal', 'Nominette']",[],[],NULL,[],NULL,NULL,[],non dérivé
céphalaire,Adjectif,['De la grosseur de la tête.'],"['Du grec ancien κεφαλή, képhalê (« tête ») et -aire.']","['bi-céphalité', 'bicéphale', 'bicéphalisme', 'capitainat', 'capitaine', 'capitan', 'capitanat', 'capitane', 'capitat', 'chef', 'chefariat', 'chefecier', 'cheffat', 'chefforat', 'cheftainat', 'cheftaine', 'cheftanat', 'chevecier', 'chevet', 'céphalaire', 'céphalien', 'dicéphale', 'décapitation', 'décapiter', 'entêtant', 'entêtement', 'entêter', 'entêté', 'monocéphale', 'monocéphalien', 'monocéphalité', 'octocéphale', 'paracéphalien', 'polycéphale', 'tête', 'têtier', 'têtière', 'têtu', 'têtusité', 'têtutesse', 'acéphale', 'acéphalien']",['suffixation'],['-aire'],céphal-,"[('κεφαλή, képhalê', 'tête')]",grec ancien,tête,"['bi-céphalité', 'bicéphale', 'bicéphalisme', 'céphalien', 'dicéphale', 'monocéphale', 'monocéphalien', 'monocéphalité', 'octocéphale', 'paracéphalien', 'polycéphale', 'acéphale', 'acéphalien']",supplétion régulière
igné,Adjectif,"['Qui est de feu, qui a les qualités du feu.']","['Du latin igneus (« embrasé, enflammé, brûlant, ardent »).']","['ardent', 'incandescent', 'pyrique', 'ignescent', 'ignifugation', 'ignifuge', 'ignifuger', 'ignition', 'bifocal', 'bifocalité', 'défocalisation', 'défocaliser', 'feu', 'feutier', 'focal', 'focalisable', 'focalisation', 'focaliser', 'focaliseur', 'focalité', 'foyer', 'igné']",['suffixation'],['-é'],ign-,"[('igneus', 'embrasé, enflammé, brûlant, ardent')]",latin,feu,"['ignescent', 'ignifugation', 'ignifuge', 'ignifuger', 'ignition']",supplétion régulière
mont,Nom commun,"['Montagne. Il s’emploie surtout dans certaines expressions géographiques consacrées par l’usage. Au pluriel, le terme géographique est généralement suivi de la préposition de.']","['Du latin mons, montis (« mont »).']","['amont', 'cismontain', 'montain', 'monter', 'monteux', 'montille', 'outremonts', 'piémont', 'transmontain', 'ultramontain', 'Montfaucon', 'Montmartre', 'Montréal', 'Montrouge', 'Outremont', 'Rosemont', 'Rougemont', 'monceau', 'monticole', 'monticule', 'mont', 'montueux', 'montuosité']",[],[],NULL,[],NULL,NULL,[],non dérivé
sigillaire,Adjectif,"['En forme de sceau, relatif aux sceaux.']","['Du latin sigillum (« sceau »), diminutif de signum (« signe ») avec le suffixe -aire.']","['sceau', 'scellage', 'scellement', 'sceller', 'scelleur', 'scellé', 'sigillaire', 'sigillé']",['suffixation'],['-aire'],sigill-,"[('sigillum', 'sceau'), ('signum', 'signe')] ",latin,sceau,['sigillé'],supplétion régulière
chien,Nom commun,"['Mammifère carnivore de la famille des Canidés, apparenté au loup (dont il est considéré comme une sous-espèce) et domestiqué par l’être humain, existant sous de nombreuses races aux morphologies variables, de nom scientifique : Canis lupus familiaris.']","['Du moyen français chien, de l’ancien français chien, du latin canem (« chien, chienne »), accusatif singulier de canis.']","['chiennage', 'chiennaille', 'chienne', 'chienner', 'chiennerie', 'chiennesque', 'chienneté', 'chiennetier', 'vespachien', 'vespachienne', 'cabot', 'cagouince', 'chienchien', 'clébard', 'clebs', 'corniaud', 'Fido', 'jaspineur', 'molosse', 'pitou', 'roquet', 'toutou', 'viausse', 'sergent', 'décanisation', 'décaniser', 'canicide', 'canicule', 'canin', 'canine', 'chenet', 'chenil', 'chenille', 'chiendent', 'chiot', 'cynique', 'cynophile', 'cynophilie', '🐕', '🐕🦺', 'aboi', 'aboiement', 'jappement', 'Médor', 'Rex', 'caninerie', 'caninette', 'caninité', 'canisette', 'chien', 'chienerie', 'chiennet', 'cynicitude', 'cynisme', 'Chien']",[],[],NULL,[],NULL,NULL,[],non dérivé
dent,Nom commun,"['Petit organe composé d’émail, de dentine et d’une pulpe, enchâssés dans la mâchoire, qui sert à inciser, à déchirer, à mâcher les aliments et à mordre.']","['Du latin dentem, accusatif de dens (même sens).']","['claquedent', 'dentaire', 'dental', 'denté', 'dentelé', 'denteler', 'dentelle', 'dentelure', 'denter', 'denticule', 'dentier', 'dentifrice', 'dentifère', 'dentiforme', 'dentine', 'dentirostre', 'dentiste', 'dentisterie', 'dentition', 'dentu', 'denture', 'endenter', 'édenté', 'édenter', 'indentation', 'indenter', 'surdent', 'trident', 'chaille', 'chicot', 'crochetir', 'croc', 'quenotte', 'densette', 'dent', 'dentelaire', 'dentelet', 'dentellement', 'dentisme', 'endentement', 'interdentaire', 'Dentinette', 'odontite', 'périodontiste']",[],[],NULL,[],NULL,NULL,[],non dérivé
bibition,Nom commun,['Action de boire.'],['bas latin bibitio (« même sens »)'],"['bibition', 'boire', 'bu', 'buvable', 'buvard', 'buvetier', 'buvette', 'buveur', 'buveuse', 'emboire', 'embuvage', 'imbuvable', 'impotable', 'potabilité', 'potable', 'potion', 'reboire']",['suffixation'],['-ion'],bibit-,"[('bibitio', '')]",bas latin,boire,[],supplétion rare
lait,Nom commun,"['Liquide produit par les glandes mammaires des femelles de mammifères pendant la période de lactation qui suit la parturition, et destiné à nourrir les bébés lors de l’allaitement.']","['Du latin lac, lactis (« lait »).']","['allaiter', 'allaitement', 'lachère', 'laitage', 'laitance', 'laiterie', 'laiteux', 'laitier', 'laitière', 'albumen', 'latex', 'laitue', 'délaitage', 'délaitement', 'délaiter', 'délaiteuse', 'galactite', 'lactaire', 'lacté', 'lait']",[],[],NULL,[],NULL,NULL,[],non dérivé
visible,Adjectif,['Qui peut être vu ; qui est l’objet de la vue.'],['Du latin visibilis.'],"['invisible', 'visiblement', 'caché', 'anti-révisionniste', 'antirevisionniste', 'antirévisionnisme', 'antirévisionniste', 'dévisagement', 'dévisager', 'envisageable', 'envisagement', 'envisager', 'envisagé', 'imprévisibilité', 'imprévisible', 'imprévoyable', 'imprévoyant', 'inenvisageable', 'invisibilité', 'prévisibilité', 'prévisible', 'prévision', 'prévisionnel', 'prévisionnisme', 'prévisionniste', 'prévoir', 'prévoyable', 'prévoyant', 'revisable', 'reviser', 'reviseur', 'reviseuse', 'revisible', 'revision', 'revisionnisme', 'revoir', 'revu', 'revue', 'revuette', 'revuiste', 'révisable', 'réviser', 'réviseur', 'réviseuse', 'révision', 'révisionnel', 'révisionnette', 'révisionnisme', 'révisionniste', 'vis', 'visa', 'visage', 'visagisme', 'visagiste', 'viser', 'visette', 'viseur', 'viseuse', 'visible', 'vision', 'visionnage', 'visionnaire', 'visionnarisme', 'visionnement', 'visionner', 'visionnette', 'visionneur', 'visionneuse', 'visière', 'visualisation', 'visualiser', 'visuel', 'visé', 'visée', 'voir', 'voyage', 'voyager', 'voyageur', 'voyageuse', 'voyagisme', 'voyagiste', 'voyant', 'voyantise', 'voyeur', 'voyeurisme', 'voyeuriste', 'voyeuse', 'vu', 'vue', 'VIS']",['suffixation'],['-ible'],vis-,"[('visibilis', '')]",latin,voir,"['invisible', 'visiblement', 'anti-révisionniste', 'antirevisionniste', 'antirévisionnisme', 'antirévisionniste', 'dévisagement', 'dévisager', 'envisageable', 'envisagement', 'envisager', 'envisagé', 'imprévisibilité', 'imprévisible', 'inenvisageable', 'invisibilité', 'prévisibilité', 'prévisible', 'prévision', 'prévisionnel', 'prévisionnisme', 'prévisionniste', 'revisable', 'reviser', 'reviseur', 'reviseuse', 'revisible', 'revision', 'revisionnisme', 'révisable', 'réviser', 'réviseur', 'réviseuse', 'révision', 'révisionnel', 'révisionnette', 'révisionnisme', 'révisionniste', 'vis', 'visa', 'visage', 'visagisme', 'visagiste', 'viser', 'visette', 'viseur', 'viseuse', 'vision', 'visionnage', 'visionnaire', 'visionnarisme', 'visionnement', 'visionner', 'visionnette', 'visionneur', 'visionneuse', 'visière', 'visualisation', 'visualiser', 'visuel', 'visé', 'visée', 'VIS']",supplétion régulière
rupestre,Adjectif,['Qui a rapport aux rochers.'],"['Du latin rupes (« roche »), via le latin scientifique rupestris → voir campestris et champêtre. La première attestion selon le Petit Robert et Usito serait 1812, mais le terme est au moins de deux ans plus ancien, comme le montre la source.']","['dérochage', 'dérochement', 'dérocher', 'dérocheuse', 'enrochement', 'enrocher', 'rochage', 'rochassier', 'roche', 'rocher', 'rocheux', 'rochier', 'rupestre', 'rupestrerie']",['suffixation'],['-estre'],rup-,"[('rupes', 'roche')]",latin,roche,['rupestrerie'],supplétion rare
essai,Nom commun,"['Test, examen, épreuve de solidité, de pérennité, d’adéquation.']","['Issu du bas latin exagium, de exigere (« juger, examiner, peser ») dont dérive aussi examen.']","['contressai', 'essayer', 'essayage', 'essayiste', 'essai', 'essayement', 'essayette', 'essayeur', 'essayeuse', 'essayisme', 'essayistique', 'ressayage', 'ressayer', 'réessayage', 'réessayer']",[],[],NULL,[],NULL,NULL,[],non dérivé
humain,Adjectif,['Relatif à l’espèce humaine.'],"['Du latin humanus,dérivé de homo (« homme »), avec le suffixe -anus.Dérivé de humus (« terre »), avec le suffixe -o, -onis, -inis, littéralement « terrien »']","['humainement', 'humaniser', 'humanisme', 'humanités', 'humanure', 'inhumain', 'interhumain', 'suprahumain', 'surhumain', 'transhumanisme', 'transhumaniste', 'anthropien', 'anti-humaniste', 'anti-humanisterie', 'antihumanisme', 'antihumaniste', 'démasculinisation', 'démasculiniser', 'déshumanisant', 'déshumanisation', 'déshumaniser', 'dévirilisation', 'déviriliser', 'hominien', 'hominisation', 'hominiser', 'hominisme', 'hoministe', 'hommasse', 'hommassité', 'homme', 'hommelet', 'hommelette', 'hommette', 'humain', 'humainerie', 'humane', 'humanisable', 'humanisation', 'humaniste', 'humanisterie', 'humanistique', 'humanitaire', 'humanitairerie', 'humanitarisme', 'humanitariste', 'humanitisme', 'humanité', 'hypoandrisme', 'inhominalisme', 'inhumanité', 'masculin', 'masculinisation', 'masculiniser', 'masculinisme', 'masculiniste', 'masculinité', 'masculisme', 'viril', 'virilerie', 'virilisation', 'viriliser', 'virilisme', 'virilité', 'Homme', 'être humain']",['suffixation'],['-ain'],hum-,"[('humanus', '')]",latin,homme,"['humainement', 'humaniser', 'humanisme', 'humanure', 'inhumain', 'interhumain', 'suprahumain', 'surhumain', 'transhumanisme', 'transhumaniste', 'inhumain', 'anti-humaniste', 'anti-humanisterie', 'antihumanisme', 'antihumaniste', 'déshumanisant', 'déshumanisation', 'déshumaniser', 'humainerie', 'humane', 'humanisable', 'humanisation', 'humaniser', 'humanisme', 'humaniste', 'humanisterie', 'humanistique', 'humanitaire', 'humanitairerie', 'humanitarisme', 'humanitariste', 'humanitisme', 'humanité', 'inhumain', 'inhumanité']",supplétion régulière
pain,Nom commun,"['Pâte cuite au four, à base de farine, d’eau et de levure de boulanger ou de levain.']","['Du moyen français pain, de l’ancien français pain, pan, du latin panem, accusatif singulier de panis (« pain »). Le pain désigne dès l’origine le résultat de la cuisson de la matière panifiable, c’est-à-dire une pâte levée à base de farine et de levain. Aussi dès le XIIᵉ siècle, il existe une grande diversité de formes de pains, à savoir les boules, les boulots, les ficelles, les épis, les tourons, les bâtards, les fougasses, les saucisses ou saucissons, les baguettes, etc.', 'Le sens (9), de personne que l’on désire, pourrait avoir transité par le nouchi où le mot « pain » désigne une personne craquante, donc un joli garçon où une jolie fille.']","['carnipain', 'copain', 'croustipain', 'saucipain', 'brignolet', 'companage', 'panaire', 'panasserie', 'pané', 'paner', 'panetière', 'panière', 'paneton', 'panivore', 'panure', 'grigne', 'baguette', 'bannette', 'déjeunette', 'ficelle', 'flute', 'flûte', 'dépannage', 'dépanner', 'dépannette', 'dépanneur', 'dépanneuse', 'empannage', 'empanner', 'khobisme', 'pain', 'panage', 'panetier', 'panette', 'panier', 'paniette', 'panifiable', 'panificateur', 'panification', 'panifier', 'panne', 'pannelette', 'pannette', 'panné']",[],[],NULL,[],NULL,NULL,[],non dérivé
verbe,Nom commun,"['Partie du discours qui exprime soit une action faite ou supportée par le sujet, soit un état ou une manière d’être du sujet, et qui, pour les exprimer, possède un certain nombre de formes diverses dont l’ensemble est appelé conjugaison, lesquelles formes expriment son sujet et le temps de la proposition.']","[""Du latin verbum (« parole »), de l'indo-européenne *werdʰh₁o- qui l’apparente à l’anglais word, au néerlandais woord.""]","['adverbe', 'adverbial', 'averbal', 'déverbal', 'préverbe', 'proverbe', 'proverbial', 'univerbation', 'verbal', 'verbalement', 'verbalisateur', 'verbalisation', 'verbaliser', 'verbalisme', 'verbatim', 'verber', 'verbeusement', 'verbeux', 'verbiage', 'verbicruciste', 'verbomanie', 'verbomoteur', 'verbosité', 'conjugaison', 'godan', 'ichidan', 'phrase', 'verbalisable', 'verbalisatrice', 'verbe']",[],[],NULL,[],NULL,NULL,[],non dérivé
manger,Verbe,['Mâcher et avaler un aliment dans le but de se nourrir.'],"['Du moyen français manger, de l’ancien français mangier, issu du latin manducare (« mâcher » et « manger » en latin populaire »), lui-même issu de mandere (« manger »). L’italien mangiare est sans conteste d’origine gallo-romane. Une évolution de manducare conforme aux lois de l’évolution phonétique de l’italien aurait donné *mandocare. De même, en occitan, manjar est dû à la langue d’oïl. référence nécessaire (résoudre le problème)']","['entremanger', 'entremangerie', 'mangeable', 'mangeaille', 'mangeailler', 'mangeoire', 'mangeotter', 'mangerie', 'mangeur', 'mangeure', 'mangeüre', 'mangeuse', 'mangeux', 'remanger', 'bouffer', 'becqueter', 'daba', 'grailler', 'miamer', 'damer', 's’alimenter', 'tchoper', 'bâfrer', 'ingurgiter', 's’empiffrer', 'manducateur', 'manducation', 'manducatoire', 'jeûner', 'comestibilité', 'comestible', 'géophagisme', 'immangeable', 'incomestible', 'mangeage', 'mangement', 'manger']",[],[],NULL,[],NULL,NULL,[],non dérivé
potable,Adjectif,"[""Que l'on peut boire sans danger pour la santé, ou sans répugnance.""]","['Du latin potabilis (« qui peut être bu, potable »), dérivé de potare (« boire »).']","['potablement', 'potabilité', 'comestible', 'bibition', 'boire', 'bu', 'buvable', 'buvard', 'buvetier', 'buvette', 'buveur', 'buveuse', 'emboire', 'embuvage', 'imbuvable', 'impotable', 'potable', 'potion', 'reboire']",['suffixation'],['-able'],pot-,"[('potabilis', 'qui peut être bu, potable'), ('potare', 'boire')]",latin,boire,"['potablement', 'potabilité', 'impotable', 'potabilité', 'potable', 'potion']",supplétion régulière
carnassier,Adjectif,['Qui se nourrit de chair crue et qui en est fort avide.'],['De l’occitan carnassièr.'],"['carnassièrement', 'carnivore', 'prédateur', 'herbivore', 'végétarien', 'carnaire', 'carnasserie', 'carnassier', 'carnassière', 'carnier', 'carné', 'chair', 'charnalité', 'charnel', 'charnier', 'charnière', 'charnu', 'créeur', 'décarnisation', 'décarniser', 'décharnement', 'décharner', 'décharné']",['suffixation'],['-ier'],carnass-,"[('carnassièr', '')] ",occitan | latin,chair,"['carnassièrement', 'carnasserie', 'carnassier']",supplétion rare
rare,Adjectif,['Qui est en petit nombre ; qui se trouve difficilement.'],['Du latin rārus (« rare »).'],"['raréfaction', 'raréfiable', 'raréfié', 'raréfier', 'rarement', 'rareté', 'rarissime', 'rare', 'rareté', 'rarissimitude']",[],[],NULL,[],NULL,NULL,[],non dérivé
fabisme,Nom commun,['Variante orthographique de favisme.'],['Du latin faba (« fève ») avec le suffixe -isme.'],"['fabisme', 'favisme', 'fève', 'fèveraie', 'févette']",['suffixation'],['-isme'],fab-,"[('faba', 'fève')]",latin,fève,[],supplétion rare
trousse,Nom commun,['Faisceau de choses liées ensemble.'],['Déverbal de trousser.'],"['trousseau', 'trousse']",[],[],NULL,[],NULL,NULL,[],non dérivé
caséeux,Adjectif,['Qui est de la nature du fromage.'],"['Du latin caseus, « fromage ».']","['caseux', 'caséiforme', 'caséine', 'caséum', 'caseux', 'caséeux', 'fromage', 'fromager', 'fromagette', 'fromagier', 'fromagisme', 'fromagiste', 'fromagère', 'fromagé']",['suffixation'],['-eux'],casé-,"[('caseus', 'fromage')]",latin,fromage,"['caséiforme', 'caséine', 'caséum']",supplétion régulière
